16:20:31.928; 0; Start of recording
16:21:38.030; 86; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'TO_DESTINATION'}}}
16:21:38.047; 87; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GET_PRODUCT'}}}
16:21:38.430; 88; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_SAW'}}}
16:21:39.234; 89; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}}}
16:21:39.597; 90; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GRIPPING'}}}
16:21:39.930; 91; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'SAWING'}}}
16:21:39.999; 92; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}}}
16:21:40.011; 93; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}}}
16:21:41.762; 94; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GRIPPING'}}}
16:21:41.793; 95; MachineStatus/Data; {'CB5': ['FREE', 'None']}
16:21:41.794; 96; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'MOVING'}}}
16:21:41.944; 97; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_CB'}}}
16:21:43.198; 98; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
16:21:44.226; 99; MachineStatus/Data; {'CB1': ['RUNNING', 'Line1']}
16:21:44.238; 100; LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
16:21:44.253; 101; MachineStatus/Data; {'GR2': ['RUNNING', 'Line1']}
16:21:44.266; 102; MachineStatus/Data; {'GR2_CB1_TO_CB3': ['BLOCKED', 'Line1']}
16:21:44.270; 103; MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1']}
16:21:44.270; 104; MachineStatus/Data; {'GR2_PM_TO_CB3': ['BLOCKED', 'Line1']}
16:21:44.270; 105; LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'INIT'}}}
16:21:44.461; 106; LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
16:21:45.585; 107; MachineStatus/Data; {'MPS': ['FREE', 'None']}
16:21:45.585; 108; LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
16:21:47.018; 109; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}}}
16:21:47.560; 110; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'TO_DESTINATION'}}}
16:21:48.705; 111; LineStatus/Data; {'Line4': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'RELEASE'}}}
16:21:48.987; 112; MachineStatus/Data; {'GR2': ['BLOCKED', 'Line1']}
16:21:48.999; 113; MachineStatus/Data; {'GR2_CB1_TO_CB3': ['RUNNING', 'Line1']}
16:21:48.999; 114; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'TO_DESTINATION'}}}
16:21:49.212; 115; MachineStatus/Data; {'SL': ['RUNNING', 'Line4']}
16:21:49.223; 116; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'GR3'}, 'GR3': {'status': 'INIT'}}}
16:21:49.237; 117; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'START'}}}
16:21:49.249; 118; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'COLOR_SENSING'}}}
16:21:50.634; 119; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}}}
16:21:51.520; 120; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GET_PRODUCT'}}}
16:21:52.503; 121; MachineStatus/Data; {'VG2': ['RUNNING', 'Line4']}
16:21:52.523; 122; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'SORTING'}, 'VG2': {'status': 'INIT'}}}
16:21:52.545; 123; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'SORTING'}, 'VG2': {'status': 'TO_MOVING_POS'}}}
16:21:53.627; 124; LineStatus/Data; {'Line4': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'INTO_BAY'}, 'VG2': {'status': 'TO_MOVING_POS'}}}
16:21:53.748; 125; LineStatus/Data; {'Line1': {'self': {'state': 'GR2_CB1_TO_CB3', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'GRIPPING'}}}
