15:25:34.035; 0; Start of recording
15:27:39.510; 91; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'VG1'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'GET_PRODUCT'}, 'CB4': {'status': 'END'}}}
15:27:39.531; 92; MachineStatus/Data; {'CB4': ['FREE', 'None']}
15:27:39.546; 93; MachineStatus/Data; {'CB4_TO_WH': ['FREE', 'None']}
15:27:39.546; 94; MachineStatus/Data; {'CB4_TO_CB5': ['FREE', 'None']}
15:27:39.546; 95; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'VG1'}, 'GR2': {'status': 'INIT'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
15:27:44.728; 96; MachineStatus/Data; {'GR2': ['FREE', 'None']}
15:27:44.786; 97; MachineStatus/Data; {'GR2_CB1_TO_CB3': ['FREE', 'None']}
15:27:44.786; 98; MachineStatus/Data; {'GR2_CB1_TO_PM': ['FREE', 'None']}
15:27:44.787; 99; MachineStatus/Data; {'GR2_PM_TO_CB3': ['FREE', 'None']}
15:27:44.790; 100; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'VG1'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
15:27:46.941; 101; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'MOVING_TO_CB'}, 'VG1': {'status': 'TO_DESTINATION'}}}
15:27:46.958; 102; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'CB_FWD'}, 'VG1': {'status': 'TO_DESTINATION'}}}
15:27:47.838; 103; LineStatus/Data; {'Line1': {'self': {'state': 'WH_STORE', 'product_at': 'WH'}, 'WH': {'status': 'GETTING_PRODUCT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
